season,constructorId,name,nationality
2019,jaguar,Jaguar,British
2019,jordan,Jordan,Irish
2019,mclaren,McLaren,British
2019,minardi,Minardi,Italian
2019,prost,Prost,French
2019,sauber,Sauber,Swiss
2019,williams,Williams,British
2020,arrows,Arrows,British
2020,bar,BAR,British
2020,benetton,Benetton,Italian
2020,ferrari,Ferrari,Italian
2020,jaguar,Jaguar,British
2020,jordan,Jordan,Irish
2020,mclaren,McLaren,British
2020,minardi,Minardi,Italian
2020,prost,Prost,French
2020,sauber,Sauber,Swiss
2020,williams,Williams,British
2021,arrows,Arrows,British
2021,bar,BAR,British
2021,benetton,Benetton,Italian
2021,ferrari,Ferrari,Italian
2021,jaguar,Jaguar,British
2021,jordan,Jordan,Irish
2021,mclaren,McLaren,British
2021,minardi,Minardi,Italian
2021,prost,Prost,French
2021,sauber,Sauber,Swiss
2021,williams,Williams,British
2022,arrows,Arrows,British
2022,bar,BAR,British
2022,benetton,Benetton,Italian
2022,ferrari,Ferrari,Italian
2022,jaguar,Jaguar,British
2022,jordan,Jordan,Irish
2022,mclaren,McLaren,British
2022,minardi,Minardi,Italian
2022,prost,Prost,French
2022,sauber,Sauber,Swiss
2022,williams,Williams,British
2000,arrows,Arrows,British
2000,bar,BAR,British
2000,benetton,Benetton,Italian
2000,ferrari,Ferrari,Italian
2000,jaguar,Jaguar,British
2000,jordan,Jordan,Irish
2000,mclaren,McLaren,British
2000,minardi,Minardi,Italian
2000,prost,Prost,French
2000,sauber,Sauber,Swiss
2000,williams,Williams,British
2001,arrows,Arrows,British
2001,bar,BAR,British
2001,benetton,Benetton,Italian
2001,ferrari,Ferrari,Italian
2001,jaguar,Jaguar,British
2001,jordan,Jordan,Irish
2001,mclaren,McLaren,British
2001,minardi,Minardi,Italian
2001,prost,Prost,French
2001,sauber,Sauber,Swiss
2001,williams,Williams,British
2002,arrows,Arrows,British
2002,bar,BAR,British
2002,benetton,Benetton,Italian
2002,ferrari,Ferrari,Italian
2002,jaguar,Jaguar,British
2002,jordan,Jordan,Irish
2002,mclaren,McLaren,British
2002,minardi,Minardi,Italian
2002,prost,Prost,French
2002,sauber,Sauber,Swiss
2002,williams,Williams,British
2003,arrows,Arrows,British
