resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
102,172007,verstappen,,,,,,,,,,,,,,,
119,172007,alesi,,,,,,,,,,,,,,,
136,172007,rosa,,,,,,,,,,,,,,,
153,172007,rosa,,,,,,,,,,,,,,,
170,172007,rosa,,,,,,,,,,,,,,,
187,172007,wurz,,,,,,,,,,,,,,,
204,172007,mazzacane,,,,,,,,,,,,,,,
221,172007,mazzacane,,,,,,,,,,,,,,,
238,172007,barrichello,,,,,,,,,,,,,,,
255,172007,fisichella,,,,,,,,,,,,,,,
272,172007,ralf_schumacher,,,,,,,,,,,,,,,
289,172007,gene,,,,,,,,,,,,,,,
17,172008,hakkinen,,,,,,,,,,,,,,,
34,172008,villeneuve,,,,,,,,,,,,,,,
51,172008,ralf_schumacher,,,,,,,,,,,,,,,
68,172008,frentzen,,,,,,,,,,,,,,,
85,172008,button,,,,,,,,,,,,,,,
102,172008,verstappen,,,,,,,,,,,,,,,
119,172008,alesi,,,,,,,,,,,,,,,
136,172008,rosa,,,,,,,,,,,,,,,
153,172008,rosa,,,,,,,,,,,,,,,
170,172008,rosa,,,,,,,,,,,,,,,
187,172008,wurz,,,,,,,,,,,,,,,
204,172008,mazzacane,,,,,,,,,,,,,,,
221,172008,mazzacane,,,,,,,,,,,,,,,
238,172008,barrichello,,,,,,,,,,,,,,,
255,172008,fisichella,,,,,,,,,,,,,,,
272,172008,ralf_schumacher,,,,,,,,,,,,,,,
289,172008,gene,,,,,,,,,,,,,,,
17,172009,hakkinen,,,,,,,,,,,,,,,
34,172009,villeneuve,,,,,,,,,,,,,,,
51,172009,ralf_schumacher,,,,,,,,,,,,,,,
68,172009,frentzen,,,,,,,,,,,,,,,
85,172009,button,,,,,,,,,,,,,,,
102,172009,verstappen,,,,,,,,,,,,,,,
119,172009,alesi,,,,,,,,,,,,,,,
136,172009,rosa,,,,,,,,,,,,,,,
153,172009,rosa,,,,,,,,,,,,,,,
170,172009,rosa,,,,,,,,,,,,,,,
187,172009,wurz,,,,,,,,,,,,,,,
204,172009,mazzacane,,,,,,,,,,,,,,,
221,172009,mazzacane,,,,,,,,,,,,,,,
238,172009,barrichello,,,,,,,,,,,,,,,
255,172009,fisichella,,,,,,,,,,,,,,,
272,172009,ralf_schumacher,,,,,,,,,,,,,,,
289,172009,gene,,,,,,,,,,,,,,,
17,172010,hakkinen,,,,,,,,,,,,,,,
34,172010,villeneuve,,,,,,,,,,,,,,,
51,172010,ralf_schumacher,,,,,,,,,,,,,,,
68,172010,frentzen,,,,,,,,,,,,,,,
85,172010,button,,,,,,,,,,,,,,,
102,172010,verstappen,,,,,,,,,,,,,,,
119,172010,alesi,,,,,,,,,,,,,,,
136,172010,rosa,,,,,,,,,,,,,,,
153,172010,rosa,,,,,,,,,,,,,,,
170,172010,rosa,,,,,,,,,,,,,,,
187,172010,wurz,,,,,,,,,,,,,,,
204,172010,mazzacane,,,,,,,,,,,,,,,
221,172010,mazzacane,,,,,,,,,,,,,,,
238,172010,barrichello,,,,,,,,,,,,,,,
255,172010,fisichella,,,,,,,,,,,,,,,
272,172010,ralf_schumacher,,,,,,,,,,,,,,,
289,172010,gene,,,,,,,,,,,,,,,
17,172011,hakkinen,,,,,,,,,,,,,,,
34,172011,villeneuve,,,,,,,,,,,,,,,
51,172011,ralf_schumacher,,,,,,,,,,,,,,,
68,172011,frentzen,,,,,,,,,,,,,,,
85,172011,button,,,,,,,,,,,,,,,
102,172011,verstappen,,,,,,,,,,,,,,,
119,172011,alesi,,,,,,,,,,,,,,,
136,172011,rosa,,,,,,,,,,,,,,,
153,172011,rosa,,,,,,,,,,,,,,,
170,172011,rosa,,,,,,,,,,,,,,,
187,172011,wurz,,,,,,,,,,,,,,,
204,172011,mazzacane,,,,,,,,,,,,,,,
221,172011,mazzacane,,,,,,,,,,,,,,,
238,172011,barrichello,,,,,,,,,,,,,,,
255,172011,fisichella,,,,,,,,,,,,,,,
272,172011,ralf_schumacher,,,,,,,,,,,,,,,
289,172011,gene,,,,,,,,,,,,,,,
17,172012,hakkinen,,,,,,,,,,,,,,,
34,172012,villeneuve,,,,,,,,,,,,,,,
51,172012,ralf_schumacher,,,,,,,,,,,,,,,
68,172012,frentzen,,,,,,,,,,,,,,,
85,172012,button,,,,,,,,,,,,,,,
102,172012,verstappen,,,,,,,,,,,,,,,
119,172012,alesi,,,,,,,,,,,,,,,
136,172012,rosa,,,,,,,,,,,,,,,
153,172012,rosa,,,,,,,,,,,,,,,
170,172012,rosa,,,,,,,,,,,,,,,
187,172012,wurz,,,,,,,,,,,,,,,
204,172012,mazzacane,,,,,,,,,,,,,,,
221,172012,mazzacane,,,,,,,,,,,,,,,
238,172012,barrichello,,,,,,,,,,,,,,,
255,172012,fisichella,,,,,,,,,,,,,,,
272,172012,ralf_schumacher,,,,,,,,,,,,,,,
289,172012,gene,,,,,,,,,,,,,,,
17,172013,hakkinen,,,,,,,,,,,,,,,
34,172013,villeneuve,,,,,,,,,,,,,,,
51,172013,ralf_schumacher,,,,,,,,,,,,,,,
68,172013,frentzen,,,,,,,,,,,,,,,
85,172013,button,,,,,,,,,,,,,,,
102,172013,verstappen,,,,,,,,,,,,,,,
119,172013,alesi,,,,,,,,,,,,,,,
136,172013,rosa,,,,,,,,,,,,,,,
153,172013,rosa,,,,,,,,,,,,,,,
170,172013,rosa,,,,,,,,,,,,,,,
187,172013,wurz,,,,,,,,,,,,,,,
204,172013,mazzacane,,,,,,,,,,,,,,,
221,172013,mazzacane,,,,,,,,,,,,,,,
238,172013,barrichello,,,,,,,,,,,,,,,
255,172013,fisichella,,,,,,,,,,,,,,,
272,172013,ralf_schumacher,,,,,,,,,,,,,,,
289,172013,gene,,,,,,,,,,,,,,,
17,172014,hakkinen,,,,,,,,,,,,,,,
34,172014,villeneuve,,,,,,,,,,,,,,,
51,172014,ralf_schumacher,,,,,,,,,,,,,,,
68,172014,frentzen,,,,,,,,,,,,,,,
85,172014,button,,,,,,,,,,,,,,,
102,172014,verstappen,,,,,,,,,,,,,,,
119,172014,alesi,,,,,,,,,,,,,,,
136,172014,rosa,,,,,,,,,,,,,,,
153,172014,rosa,,,,,,,,,,,,,,,
170,172014,rosa,,,,,,,,,,,,,,,
187,172014,wurz,,,,,,,,,,,,,,,
204,172014,mazzacane,,,,,,,,,,,,,,,
221,172014,mazzacane,,,,,,,,,,,,,,,
238,172014,barrichello,,,,,,,,,,,,,,,
255,172014,fisichella,,,,,,,,,,,,,,,
272,172014,ralf_schumacher,,,,,,,,,,,,,,,
289,172014,gene,,,,,,,,,,,,,,,
17,172015,hakkinen,,,,,,,,,,,,,,,
34,172015,villeneuve,,,,,,,,,,,,,,,
51,172015,ralf_schumacher,,,,,,,,,,,,,,,
68,172015,frentzen,,,,,,,,,,,,,,,
85,172015,button,,,,,,,,,,,,,,,
102,172015,verstappen,,,,,,,,,,,,,,,
119,172015,alesi,,,,,,,,,,,,,,,
136,172015,rosa,,,,,,,,,,,,,,,
153,172015,rosa,,,,,,,,,,,,,,,
170,172015,rosa,,,,,,,,,,,,,,,
187,172015,wurz,,,,,,,,,,,,,,,
204,172015,mazzacane,,,,,,,,,,,,,,,
